Model,CvFolds,Scoring,Score,PermutationScores,PValue
KNeighborsClassifier,5,f1_micro,0.7112095360491005,"[0.0073407  0.01134501 0.00934195 0.00967626 0.01017793 0.00984293
 0.00934195 0.00967598 0.00951001 0.01167835]",0.09090909090909091
SVC,5,f1_micro,0.697361462877384,"[0.0108439  0.01134432 0.0103439  0.01117765 0.01234543 0.01017668
 0.01134501 0.01301349 0.01251251 0.01017668]",0.09090909090909091
DecisionTreeClassifier,5,f1_micro,0.5173498783766662,"[0.00867529 0.01034348 0.01001015 0.00900848 0.01167807 0.01134515
 0.01017654 0.01000973 0.00767404 0.01267862]",0.09090909090909091
RandomForestClassifier,5,f1_micro,0.7158835757677864,"[0.01067696 0.01017682 0.01034334 0.01051029 0.01201168 0.00934279
 0.01017682 0.01184487 0.00867557 0.01234501]",0.09090909090909091
MLPClassifier,5,f1_micro,0.703035501203702,"[0.01034376 0.0101764  0.00734098 0.00984293 0.01234515 0.01017682
 0.01318015 0.0096764  0.0091764  0.01084376]",0.09090909090909091
AdaBoostClassifier,5,f1_micro,0.046712828302940254,"[0.0121789  0.01334738 0.00867543 0.01151112 0.01167821 0.01267932
 0.01151168 0.01267988 0.01134432 0.01201182]",0.09090909090909091
GaussianNB,5,f1_micro,0.5842517623896375,"[0.01034348 0.00734112 0.00633973 0.00850876 0.00650667 0.00767459
 0.00967612 0.00650654 0.00934279 0.00950932]",0.09090909090909091
QuadraticDiscriminantAnalysis,5,f1_micro,0.5367018425204086,"[0.01000987 0.01101154 0.00950959 0.0113439  0.01251265 0.01084376
 0.01151182 0.01234613 0.01067723 0.01317988]",0.09090909090909091
