model,pose,f1,precision,recall,support
AdaBoostClassifier,ardha chandrasana,0.0,0.0,0.0,16.0
QuadraticDiscriminantAnalysis,ardha chandrasana,0.0,0.0,0.0,16.0
DecisionTreeClassifier,ardha chandrasana,0.6666666666666666,0.7142857142857143,0.625,16.0
MLPClassifier,ardha chandrasana,0.6666666666666666,0.8181818181818182,0.5625,16.0
GaussianNB,ardha chandrasana,0.7999999999999999,0.8571428571428571,0.75,16.0
KNeighborsClassifier,ardha chandrasana,0.8148148148148148,1.0,0.6875,16.0
SVC,ardha chandrasana,0.8148148148148148,1.0,0.6875,16.0
RandomForestClassifier,ardha chandrasana,0.9375,0.9375,0.9375,16.0
AdaBoostClassifier,ardha matsyendrasana,0.03218116805721096,0.01635372501514234,1.0,27.0
QuadraticDiscriminantAnalysis,ardha matsyendrasana,0.2030075187969925,0.11297071129707113,1.0,27.0
GaussianNB,ardha matsyendrasana,0.6567164179104479,0.55,0.8148148148148148,27.0
DecisionTreeClassifier,ardha matsyendrasana,0.6923076923076923,0.72,0.6666666666666666,27.0
RandomForestClassifier,ardha matsyendrasana,0.75,0.6486486486486487,0.8888888888888888,27.0
MLPClassifier,ardha matsyendrasana,0.75,0.7241379310344828,0.7777777777777778,27.0
KNeighborsClassifier,ardha matsyendrasana,0.7796610169491525,0.71875,0.8518518518518519,27.0
SVC,ardha matsyendrasana,0.8421052631578948,0.8,0.8888888888888888,27.0
AdaBoostClassifier,ardha pincha mayurasana,0.0,0.0,0.0,14.0
QuadraticDiscriminantAnalysis,ardha pincha mayurasana,0.0,0.0,0.0,14.0
DecisionTreeClassifier,ardha pincha mayurasana,0.6875000000000001,0.6111111111111112,0.7857142857142857,14.0
GaussianNB,ardha pincha mayurasana,0.7058823529411764,0.6,0.8571428571428571,14.0
MLPClassifier,ardha pincha mayurasana,0.8387096774193549,0.7647058823529411,0.9285714285714286,14.0
RandomForestClassifier,ardha pincha mayurasana,0.8666666666666666,0.8125,0.9285714285714286,14.0
KNeighborsClassifier,ardha pincha mayurasana,0.8750000000000001,0.7777777777777778,1.0,14.0
SVC,ardha pincha mayurasana,1.0,1.0,1.0,14.0
AdaBoostClassifier,ardha uttanasana,0.0,0.0,0.0,20.0
DecisionTreeClassifier,ardha uttanasana,0.4090909090909091,0.375,0.45,20.0
GaussianNB,ardha uttanasana,0.4878048780487805,0.47619047619047616,0.5,20.0
QuadraticDiscriminantAnalysis,ardha uttanasana,0.5116279069767442,0.4782608695652174,0.55,20.0
RandomForestClassifier,ardha uttanasana,0.5581395348837209,0.5217391304347826,0.6,20.0
MLPClassifier,ardha uttanasana,0.608695652173913,0.5384615384615384,0.7,20.0
SVC,ardha uttanasana,0.64,0.5333333333333333,0.8,20.0
KNeighborsClassifier,ardha uttanasana,0.6938775510204082,0.5862068965517241,0.85,20.0
AdaBoostClassifier,ashtanga namaskara,0.0,0.0,0.0,10.0
QuadraticDiscriminantAnalysis,ashtanga namaskara,0.0,0.0,0.0,10.0
DecisionTreeClassifier,ashtanga namaskara,0.23529411764705882,0.2857142857142857,0.2,10.0
SVC,ashtanga namaskara,0.4615384615384615,1.0,0.3,10.0
GaussianNB,ashtanga namaskara,0.5714285714285713,0.5454545454545454,0.6,10.0
MLPClassifier,ashtanga namaskara,0.7826086956521738,0.6923076923076923,0.9,10.0
KNeighborsClassifier,ashtanga namaskara,0.8181818181818182,0.75,0.9,10.0
RandomForestClassifier,ashtanga namaskara,0.8571428571428572,0.8181818181818182,0.9,10.0
AdaBoostClassifier,astavakrasana,0.0,0.0,0.0,22.0
QuadraticDiscriminantAnalysis,astavakrasana,0.537313432835821,0.4,0.8181818181818182,22.0
DecisionTreeClassifier,astavakrasana,0.6122448979591836,0.5555555555555556,0.6818181818181818,22.0
GaussianNB,astavakrasana,0.7142857142857143,0.75,0.6818181818181818,22.0
RandomForestClassifier,astavakrasana,0.7555555555555555,0.7391304347826086,0.7727272727272727,22.0
MLPClassifier,astavakrasana,0.7727272727272727,0.7727272727272727,0.7727272727272727,22.0
KNeighborsClassifier,astavakrasana,0.7777777777777778,0.65625,0.9545454545454546,22.0
SVC,astavakrasana,0.7916666666666666,0.7307692307692307,0.8636363636363636,22.0
AdaBoostClassifier,baddha konasana,0.0,0.0,0.0,21.0
GaussianNB,baddha konasana,0.08,0.25,0.047619047619047616,21.0
DecisionTreeClassifier,baddha konasana,0.24489795918367344,0.21428571428571427,0.2857142857142857,21.0
QuadraticDiscriminantAnalysis,baddha konasana,0.37499999999999994,0.5454545454545454,0.2857142857142857,21.0
MLPClassifier,baddha konasana,0.4,0.6666666666666666,0.2857142857142857,21.0
SVC,baddha konasana,0.42857142857142855,0.8571428571428571,0.2857142857142857,21.0
KNeighborsClassifier,baddha konasana,0.5,0.5263157894736842,0.47619047619047616,21.0
RandomForestClassifier,baddha konasana,0.5945945945945946,0.6875,0.5238095238095238,21.0
AdaBoostClassifier,bakasana,0.0,0.0,0.0,23.0
QuadraticDiscriminantAnalysis,bakasana,0.4597701149425288,0.3125,0.8695652173913043,23.0
DecisionTreeClassifier,bakasana,0.7916666666666667,0.76,0.8260869565217391,23.0
KNeighborsClassifier,bakasana,0.8148148148148149,0.7096774193548387,0.9565217391304348,23.0
GaussianNB,bakasana,0.8163265306122449,0.7692307692307693,0.8695652173913043,23.0
SVC,bakasana,0.8301886792452831,0.7333333333333333,0.9565217391304348,23.0
MLPClassifier,bakasana,0.8936170212765957,0.875,0.9130434782608695,23.0
RandomForestClassifier,bakasana,0.8979591836734695,0.8461538461538461,0.9565217391304348,23.0
AdaBoostClassifier,balasana,0.0,0.0,0.0,21.0
GaussianNB,balasana,0.56,0.4827586206896552,0.6666666666666666,21.0
