Model,Pose,CvFold,F1,Precision,Recall,Support
RandomForestClassifier,adho mukha svanasana,3,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0
DecisionTreeClassifier,adho mukha svanasana,4,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
KNeighborsClassifier,adho mukha svanasana,3,0.742857142857143,0.6190476190476191,0.9285714285714286,14.0
GaussianNB,adho mukha svanasana,4,0.7692307692307692,0.8333333333333334,0.7142857142857143,14.0
GaussianNB,adho mukha svanasana,0,0.7741935483870968,0.7058823529411765,0.8571428571428571,14.0
KNeighborsClassifier,adho mukha svanasana,1,0.7741935483870968,0.6666666666666666,0.9230769230769231,13.0
GaussianNB,adho mukha svanasana,1,0.7857142857142856,0.7333333333333333,0.8461538461538461,13.0
SVC,adho mukha svanasana,3,0.7857142857142857,0.7857142857142857,0.7857142857142857,14.0
QuadraticDiscriminantAnalysis,adho mukha svanasana,0,0.7999999999999999,0.75,0.8571428571428571,14.0
KNeighborsClassifier,adho mukha svanasana,0,0.8125000000000001,0.7222222222222222,0.9285714285714286,14.0
SVC,adho mukha svanasana,4,0.8275862068965518,0.8,0.8571428571428571,14.0
GaussianNB,adho mukha svanasana,2,0.8333333333333333,1.0,0.7142857142857143,14.0
QuadraticDiscriminantAnalysis,adho mukha svanasana,3,0.8333333333333333,1.0,0.7142857142857143,14.0
RandomForestClassifier,adho mukha svanasana,0,0.8387096774193549,0.7647058823529411,0.9285714285714286,14.0
RandomForestClassifier,adho mukha svanasana,1,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
MLPClassifier,adho mukha svanasana,3,0.8461538461538461,0.9166666666666666,0.7857142857142857,14.0
RandomForestClassifier,adho mukha svanasana,4,0.8484848484848484,0.7368421052631579,1.0,14.0
KNeighborsClassifier,adho mukha svanasana,2,0.8666666666666666,0.8125,0.9285714285714286,14.0
RandomForestClassifier,adho mukha svanasana,2,0.8666666666666666,0.8125,0.9285714285714286,14.0
KNeighborsClassifier,adho mukha svanasana,4,0.8666666666666666,0.8125,0.9285714285714286,14.0
MLPClassifier,adho mukha svanasana,4,0.8666666666666666,0.8125,0.9285714285714286,14.0
MLPClassifier,adho mukha svanasana,1,0.8799999999999999,0.9166666666666666,0.8461538461538461,13.0
SVC,adho mukha svanasana,1,0.888888888888889,0.8571428571428571,0.9230769230769231,13.0
MLPClassifier,adho mukha svanasana,2,0.888888888888889,0.9230769230769231,0.8571428571428571,14.0
QuadraticDiscriminantAnalysis,adho mukha svanasana,4,0.896551724137931,0.8666666666666667,0.9285714285714286,14.0
SVC,adho mukha svanasana,0,0.9032258064516129,0.8235294117647058,1.0,14.0
MLPClassifier,adho mukha svanasana,0,0.9032258064516129,0.8235294117647058,1.0,14.0
QuadraticDiscriminantAnalysis,adho mukha svanasana,2,0.923076923076923,1.0,0.8571428571428571,14.0
SVC,adho mukha svanasana,2,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
QuadraticDiscriminantAnalysis,adho mukha svanasana,1,0.9600000000000001,1.0,0.9230769230769231,13.0
AdaBoostClassifier,adho mukha vriksasana,0,0.0,0.0,0.0,12.0
GaussianNB,adho mukha vriksasana,0,0.0,0.0,0.0,12.0
AdaBoostClassifier,adho mukha vriksasana,1,0.0,0.0,0.0,12.0
AdaBoostClassifier,adho mukha vriksasana,2,0.0,0.0,0.0,11.0
AdaBoostClassifier,adho mukha vriksasana,3,0.0,0.0,0.0,12.0
AdaBoostClassifier,adho mukha vriksasana,4,0.0,0.0,0.0,12.0
GaussianNB,adho mukha vriksasana,4,0.0,0.0,0.0,12.0
GaussianNB,adho mukha vriksasana,2,0.15384615384615385,0.5,0.09090909090909091,11.0
GaussianNB,adho mukha vriksasana,3,0.2857142857142857,1.0,0.16666666666666666,12.0
DecisionTreeClassifier,adho mukha vriksasana,4,0.43478260869565216,0.45454545454545453,0.4166666666666667,12.0
DecisionTreeClassifier,adho mukha vriksasana,3,0.4615384615384615,0.42857142857142855,0.5,12.0
GaussianNB,adho mukha vriksasana,1,0.5,1.0,0.3333333333333333,12.0
MLPClassifier,adho mukha vriksasana,3,0.5,0.5,0.5,12.0
DecisionTreeClassifier,adho mukha vriksasana,1,0.5454545454545454,0.6,0.5,12.0
QuadraticDiscriminantAnalysis,adho mukha vriksasana,0,0.5714285714285715,0.6666666666666666,0.5,12.0
DecisionTreeClassifier,adho mukha vriksasana,0,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
KNeighborsClassifier,adho mukha vriksasana,3,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
SVC,adho mukha vriksasana,3,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
QuadraticDiscriminantAnalysis,adho mukha vriksasana,4,0.631578947368421,0.8571428571428571,0.5,12.0
KNeighborsClassifier,adho mukha vriksasana,1,0.6428571428571429,0.5625,0.75,12.0
RandomForestClassifier,adho mukha vriksasana,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
QuadraticDiscriminantAnalysis,adho mukha vriksasana,3,0.6666666666666666,0.7777777777777778,0.5833333333333334,12.0
MLPClassifier,adho mukha vriksasana,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
SVC,adho mukha vriksasana,0,0.6923076923076924,0.6428571428571429,0.75,12.0
SVC,adho mukha vriksasana,1,0.6956521739130435,0.7272727272727273,0.6666666666666666,12.0
